Deformed
1.000000 -0.002000
0.950120 0.005054
0.900240 0.012142
0.850330 0.019240
0.800390 0.026184
0.750400 0.032868
0.700380 0.039113
0.650330 0.044848
0.600250 0.049980
0.550140 0.054396
0.500000 0.057990
0.449850 0.060554
0.399680 0.061867
0.349510 0.061485
0.299340 0.059826
0.249190 0.056808
0.199050 0.052344
0.148940 0.046235
0.098870 0.037930
0.073870 0.032666
0.048900 0.026263
0.024010 0.017945
0.011630 0.012297
0.006730 0.009169
0.004310 0.007204
0.000000 -0.001603
0.005690 -0.009093
0.008270 -0.010504
0.013370 -0.012592
0.025990 -0.015963
0.051100 -0.020490
0.076130 -0.023775
0.101130 -0.026420
0.151060 -0.030568
0.200950 -0.033669
0.250810 -0.035951
0.300660 -0.037456
0.350490 -0.038117
0.400320 -0.037894
0.450150 -0.036306
0.500000 -0.033730
0.549870 -0.030364
0.599750 -0.026421
0.649670 -0.022053
0.699620 -0.017427
0.749600 -0.012751
0.799620 -0.008254
0.849680 -0.004276
0.899770 -0.001272
0.949880 0.000099
1.000000 -0.002000
