Deformed
1.000000 -0.000835
0.950120 0.005588
0.900240 0.012184
0.850330 0.018907
0.800390 0.025591
0.750400 0.032124
0.700380 0.038315
0.650330 0.044074
0.600250 0.049281
0.550140 0.053796
0.500000 0.057492
0.449850 0.060140
0.399680 0.061509
0.349510 0.061152
0.299340 0.059489
0.249190 0.056444
0.199050 0.051937
0.148940 0.045782
0.098870 0.037446
0.073870 0.032184
0.048900 0.025802
0.024010 0.017536
0.011630 0.011931
0.006730 0.008823
0.004310 0.006869
0.000000 -0.001918
0.005690 -0.009434
0.008270 -0.010856
0.013370 -0.012965
0.025990 -0.016377
0.051100 -0.020954
0.076130 -0.024259
0.101130 -0.026903
0.151060 -0.031019
0.200950 -0.034074
0.250810 -0.036314
0.300660 -0.037792
0.350490 -0.038450
0.400320 -0.038253
0.450150 -0.036721
0.500000 -0.034228
0.549870 -0.030963
0.599750 -0.027119
0.649670 -0.022826
0.699620 -0.018225
0.749600 -0.013497
0.799620 -0.008850
0.849680 -0.004612
0.899770 -0.001234
0.949880 0.000631
1.000000 -0.000835
